Animal sire dam
248 0 0
249 0 0
250 0 0
251 0 0
252 0 0
253 0 0
254 0 0
255 0 0
256 0 0
257 0 0
258 0 0
259 0 0
260 0 0
261 0 0
262 0 0
263 0 0
264 0 0
265 0 0
266 0 0
267 0 0
268 0 0
269 0 0
270 0 0
271 0 0
272 0 0
273 0 0
274 0 0
275 0 0
276 0 0
277 0 0
278 0 0
279 0 0
280 0 0
281 0 0
282 0 0
283 0 0
284 0 0
285 0 0
286 0 0
287 0 0
288 0 0
289 0 0
290 0 0
291 0 0
292 0 0
293 0 0
294 0 0
295 0 0
296 0 0
297 0 0
298 0 0
299 0 0
300 0 0
301 0 0
302 0 0
303 0 0
304 0 0
305 0 0
306 0 0
307 0 0
308 0 0
309 0 0
310 0 0
311 0 0
312 0 0
313 0 0
314 0 0
315 0 0
316 0 0
317 0 0
318 0 0
319 0 0
320 0 0
321 0 0
322 0 0
323 0 0
324 0 0
325 0 0
326 0 0
327 0 0
328 0 0
329 0 0
330 0 0
331 0 0
332 0 0
333 0 0
334 0 0
335 0 0
336 0 0
337 0 0
338 0 0
339 0 0
340 0 0
341 0 0
342 0 0
343 0 0
344 0 0
345 0 0
346 0 0
347 0 0
348 0 0
349 0 0
350 0 0
351 0 0
352 0 0
353 0 0
354 0 0
355 0 0
356 0 0
357 0 0
358 0 0
359 0 0
360 0 0
361 0 0
362 0 0
363 0 0
364 0 0
365 0 0
366 0 0
367 0 0
368 0 0
369 0 0
370 0 0
371 0 0
372 0 0
373 0 0
374 0 0
375 0 0
376 0 0
377 0 0
378 0 0
379 0 0
380 0 0
381 0 0
382 0 0
383 0 0
384 0 0
385 0 0
386 0 0
387 0 0
388 0 0
389 0 0
390 0 0
391 0 0
392 0 0
393 0 0
394 0 0
395 0 0
396 0 0
397 0 0
398 0 0
399 0 0
400 0 0
401 0 0
402 0 0
403 0 0
404 0 0
405 0 0
406 0 0
407 0 0
408 0 0
409 0 0
410 0 0
411 0 0
412 0 0
413 0 0
414 0 0
415 0 0
416 0 0
417 0 0
418 0 0
419 0 0
420 0 0
421 0 0
422 0 0
423 0 0
424 0 0
425 0 0
426 0 0
427 0 0
428 0 0
429 0 0
430 0 0
431 0 0
432 0 0
433 0 0
434 0 0
435 0 0
436 0 0
437 0 0
438 0 0
439 0 0
440 0 0
441 0 0
442 0 0
443 0 0
444 0 0
445 0 0
446 0 0
447 0 0
448 0 0
449 0 0
450 0 0
451 0 0
452 0 0
453 0 0
454 0 0
455 0 0
456 0 0
457 0 0
458 0 0
459 0 0
460 0 0
461 0 0
462 0 0
463 0 0
464 0 0
465 0 0
466 0 0
467 0 0
468 0 0
469 0 0
470 0 0
471 0 0
472 0 0
473 0 0
474 0 0
475 0 0
476 0 0
477 0 0
478 0 0
479 0 0
480 0 0
481 0 0
482 0 0
483 0 0
484 0 0
485 0 0
486 0 0
487 0 0
488 0 0
489 0 0
490 0 0
491 0 0
492 0 0
493 0 0
494 0 0
495 0 0
496 0 0
497 0 0
498 0 0
499 0 0
500 0 0
501 0 0
502 0 0
503 0 0
504 0 0
505 0 0
506 0 0
507 0 0
508 0 0
509 0 0
510 0 0
511 0 0
512 0 0
513 0 0
514 0 0
515 0 0
516 0 0
517 0 0
518 0 0
519 0 0
520 0 0
521 0 0
522 0 0
523 0 0
524 0 0
525 0 0
526 0 0
527 0 0
528 0 0
529 0 0
530 0 0
531 0 0
532 0 0
533 0 0
534 0 0
535 0 0
536 0 0
537 0 0
538 0 0
539 0 0
540 0 0
541 0 0
542 0 0
543 0 0
544 0 0
545 0 0
546 0 0
547 0 0
548 0 0
549 0 0
550 0 0
551 0 0
552 0 0
553 0 0
554 0 0
555 0 0
556 0 0
557 0 0
558 0 0
559 0 0
560 0 0
561 0 0
562 0 0
563 0 0
564 0 0
565 0 0
566 0 0
567 0 0
568 0 0
569 0 0
570 0 0
571 0 0
572 0 0
573 0 0
574 0 0
575 0 0
576 0 0
577 0 0
578 0 0
579 0 0
580 0 0
581 0 0
582 0 0
583 0 0
584 0 0
585 0 0
586 0 0
587 0 0
588 0 0
589 0 0
590 0 0
591 0 0
592 0 0
593 0 0
594 0 0
595 0 0
596 0 0
597 0 0
598 0 0
599 0 0
600 0 0
601 0 0
602 0 0
603 0 0
604 0 0
605 0 0
606 0 0
607 0 0
608 0 0
609 0 0
610 0 0
611 0 0
612 0 0
613 0 0
614 0 0
615 0 0
616 0 0
617 0 0
618 0 0
619 0 0
620 0 0
621 0 0
622 0 0
623 0 0
624 0 0
625 0 0
626 0 0
627 0 0
628 0 0
629 0 0
630 0 0
631 0 0
632 0 0
633 0 0
634 0 0
635 0 0
636 0 0
637 0 0
638 0 0
639 0 0
640 0 0
641 0 0
642 0 0
643 0 0
644 0 0
645 0 0
646 0 0
647 0 0
648 0 0
649 0 0
650 0 0
651 0 0
652 0 0
653 0 0
654 0 0
655 0 0
656 0 0
657 0 0
658 0 0
659 0 0
660 0 0
661 0 0
662 0 0
663 0 0
664 0 0
665 0 0
666 0 0
667 0 0
668 0 0
669 0 0
670 0 0
671 0 0
672 0 0
673 0 0
674 0 0
675 0 0
676 0 0
677 0 0
678 0 0
679 0 0
680 0 0
681 0 0
682 0 0
683 0 0
684 0 0
685 0 0
686 0 0
687 0 0
688 0 0
689 0 0
690 0 0
691 0 0
692 0 0
693 0 0
694 0 0
695 0 0
696 0 0
697 0 0
698 0 0
699 0 0
700 0 0
701 0 0
702 0 0
703 0 0
704 0 0
705 0 0
706 0 0
707 0 0
708 0 0
709 0 0
710 0 0
711 0 0
712 0 0
713 0 0
714 0 0
715 0 0
716 0 0
717 0 0
718 0 0
719 0 0
720 0 0
721 0 0
722 0 0
723 0 0
724 0 0
725 0 0
726 0 0
727 0 0
728 0 0
729 0 0
730 0 0
731 0 0
732 0 0
733 0 0
734 0 0
735 0 0
736 0 0
737 0 0
738 0 0
739 0 0
740 0 0
741 0 0
742 0 0
743 0 0
744 0 0
745 0 0
746 0 0
747 0 0
748 0 0
749 0 0
750 0 0
751 0 0
752 0 0
753 0 0
754 0 0
755 0 0
756 0 0
757 0 0
758 0 0
759 0 0
760 0 0
761 0 0
762 0 0
763 0 0
764 0 0
765 0 0
766 0 0
767 0 0
768 0 0
769 0 0
770 0 0
771 0 0
772 0 0
773 0 0
774 0 0
775 0 0
776 0 0
777 0 0
778 0 0
779 0 0
780 0 0
781 0 0
782 0 0
783 0 0
784 0 0
785 0 0
786 0 0
787 0 0
788 0 0
789 0 0
790 0 0
791 0 0
792 0 0
793 0 0
794 0 0
795 0 0
796 0 0
797 0 0
798 0 0
799 0 0
800 0 0
801 0 0
802 0 0
803 0 0
804 0 0
805 0 0
806 0 0
807 0 0
808 0 0
809 0 0
810 0 0
811 0 0
812 0 0
813 0 0
814 0 0
815 0 0
816 0 0
817 0 0
818 0 0
819 0 0
820 0 0
821 0 0
822 0 0
823 0 0
824 0 0
825 0 0
826 0 0
827 0 0
828 0 0
829 0 0
830 0 0
831 0 0
832 0 0
833 0 0
834 0 0
835 0 0
836 0 0
837 0 0
838 0 0
839 0 0
840 0 0
841 0 0
842 0 0
843 0 0
844 0 0
845 0 0
846 0 0
847 0 0
848 0 0
849 0 0
850 0 0
851 0 0
852 0 0
853 0 0
854 0 0
855 0 0
856 0 0
857 0 0
858 0 0
859 0 0
860 0 0
861 0 0
862 0 0
863 0 0
864 0 0
865 0 0
866 0 0
867 0 0
868 0 0
869 0 0
870 0 0
871 0 0
872 0 0
873 0 0
874 0 0
875 0 0
876 0 0
877 0 0
878 0 0
879 0 0
880 0 0
881 0 0
882 0 0
883 0 0
884 0 0
885 0 0
886 0 0
887 0 0
888 0 0
889 0 0
890 0 0
891 0 0
892 0 0
893 0 0
894 0 0
895 0 0
896 0 0
897 0 0
898 0 0
899 0 0
900 0 0
901 0 0
902 0 0
903 0 0
904 0 0
905 0 0
906 0 0
907 0 0
908 0 0
909 0 0
910 0 0
911 0 0
912 0 0
913 0 0
914 0 0
915 0 0
916 0 0
917 0 0
918 0 0
919 0 0
920 0 0
921 0 0
922 0 0
923 0 0
924 0 0
925 0 0
926 0 0
927 0 0
928 0 0
929 0 0
930 0 0
931 0 0
932 0 0
933 0 0
934 0 0
935 0 0
936 0 0
937 0 0
938 0 0
939 0 0
940 0 0
941 0 0
942 0 0
943 0 0
944 0 0
945 0 0
946 0 0
947 0 0
948 0 0
949 0 0
950 0 0
951 0 0
952 0 0
953 0 0
954 0 0
955 0 0
956 0 0
957 0 0
958 0 0
959 0 0
960 0 0
961 0 0
962 0 0
963 0 0
964 0 0
965 0 0
966 0 0
967 0 0
968 0 0
969 0 0
970 0 0
971 0 0
972 0 0
973 0 0
974 0 0
975 0 0
976 0 0
977 0 0
978 0 0
979 0 0
980 0 0
981 0 0
982 0 0
983 0 0
984 0 0
985 0 0
986 0 0
987 0 0
988 0 0
989 0 0
990 0 0
991 0 0
992 0 0
993 0 0
994 0 0
995 0 0
996 0 0
997 0 0
998 0 0
999 0 0
1000 0 0
1001 1 501
1002 1 501
1003 1 501
1004 2 502
1005 2 502
1006 2 502
1007 3 503
1008 3 503
1009 3 503
1010 4 504
1011 4 504
1012 4 504
1013 5 505
1014 5 505
1015 5 505
1016 6 506
1017 6 506
1018 6 506
1019 7 507
1020 7 507
1021 7 507
1022 8 508
1023 8 508
1024 8 508
1025 9 509
1026 9 509
1027 9 509
1028 10 510
1029 10 510
1030 10 510
1031 11 511
1032 11 511
1033 11 511
1034 12 512
1035 12 512
1036 12 512
1037 13 513
1038 13 513
1039 13 513
1040 14 514
1041 14 514
1042 14 514
1043 15 515
1044 15 515
1045 15 515
1046 16 516
1047 16 516
1048 16 516
1049 17 517
1050 17 517
1051 17 517
1052 18 518
1053 18 518
1054 18 518
1055 19 519
1056 19 519
1057 19 519
1058 20 520
1059 20 520
1060 20 520
1061 21 521
1062 21 521
1063 21 521
1064 22 522
1065 22 522
1066 22 522
1067 23 523
1068 23 523
1069 23 523
1070 24 524
1071 24 524
1072 24 524
1073 25 525
1074 25 525
1075 25 525
1076 26 526
1077 26 526
1078 26 526
1079 27 527
1080 27 527
1081 27 527
1082 28 528
1083 28 528
1084 28 528
1085 29 529
1086 29 529
1087 29 529
1088 30 530
1089 30 530
1090 30 530
1091 31 531
1092 31 531
1093 31 531
1094 32 532
1095 32 532
1096 32 532
1097 33 533
1098 33 533
1099 33 533
1100 34 534
1101 34 534
1102 34 534
1103 35 535
1104 35 535
1105 35 535
1106 36 536
1107 36 536
1108 36 536
1109 37 537
1110 37 537
1111 37 537
1112 38 538
1113 38 538
1114 38 538
1115 39 539
1116 39 539
1117 39 539
1118 40 540
1119 40 540
1120 40 540
1121 41 541
1122 41 541
1123 41 541
1124 42 542
1125 42 542
1126 42 542
1127 43 543
1128 43 543
1129 43 543
1130 44 544
1131 44 544
1132 44 544
1133 45 545
1134 45 545
1135 45 545
1136 46 546
1137 46 546
1138 46 546
1139 47 547
1140 47 547
1141 47 547
1142 48 548
1143 48 548
1144 48 548
1145 49 549
1146 49 549
1147 49 549
1148 50 550
1149 50 550
1150 50 550
1151 51 551
1152 51 551
1153 51 551
1154 52 552
1155 52 552
1156 52 552
1157 53 553
1158 53 553
1159 53 553
1160 54 554
1161 54 554
1162 54 554
1163 55 555
1164 55 555
1165 55 555
1166 56 556
1167 56 556
1168 56 556
1169 57 557
1170 57 557
1171 57 557
1172 58 558
1173 58 558
1174 58 558
1175 59 559
1176 59 559
1177 59 559
1178 60 560
1179 60 560
1180 60 560
1181 61 561
1182 61 561
1183 61 561
1184 62 562
1185 62 562
1186 62 562
1187 63 563
1188 63 563
1189 63 563
1190 64 564
1191 64 564
1192 64 564
1193 65 565
1194 65 565
1195 65 565
1196 66 566
1197 66 566
1198 66 566
1199 67 567
1200 67 567
1201 67 567
1202 68 568
1203 68 568
1204 68 568
1205 69 569
1206 69 569
1207 69 569
1208 70 570
1209 70 570
1210 70 570
1211 71 571
1212 71 571
1213 71 571
1214 72 572
1215 72 572
1216 72 572
1217 73 573
1218 73 573
1219 73 573
1220 74 574
1221 74 574
1222 74 574
1223 75 575
1224 75 575
1225 75 575
1226 76 576
1227 76 576
1228 76 576
1229 77 577
1230 77 577
1231 77 577
1232 78 578
1233 78 578
1234 78 578
1235 79 579
1236 79 579
1237 79 579
1238 80 580
1239 80 580
1240 80 580
1241 81 581
1242 81 581
1243 81 581
1244 82 582
1245 82 582
1246 82 582
1247 83 583
1248 83 583
1249 83 583
1250 84 584
1251 84 584
1252 84 584
1253 85 585
1254 85 585
1255 85 585
1256 86 586
1257 86 586
1258 86 586
1259 87 587
1260 87 587
1261 87 587
1262 88 588
1263 88 588
1264 88 588
1265 89 589
1266 89 589
1267 89 589
1268 90 590
1269 90 590
1270 90 590
1271 91 591
1272 91 591
1273 91 591
1274 92 592
1275 92 592
1276 92 592
1277 93 593
1278 93 593
1279 93 593
1280 94 594
1281 94 594
1282 94 594
1283 95 595
1284 95 595
1285 95 595
1286 96 596
1287 96 596
1288 96 596
1289 97 597
1290 97 597
1291 97 597
1292 98 598
1293 98 598
1294 98 598
1295 99 599
1296 99 599
1297 99 599
1298 100 600
1299 100 600
1300 100 600
1301 101 601
1302 101 601
1303 101 601
1304 102 602
1305 102 602
1306 102 602
1307 103 603
1308 103 603
1309 103 603
1310 104 604
1311 104 604
1312 104 604
1313 105 605
1314 105 605
1315 105 605
1316 106 606
1317 106 606
1318 106 606
1319 107 607
1320 107 607
1321 107 607
1322 108 608
1323 108 608
1324 108 608
1325 109 609
1326 109 609
1327 109 609
1328 110 610
1329 110 610
1330 110 610
1331 111 611
1332 111 611
1333 111 611
1334 112 612
1335 112 612
1336 112 612
1337 113 613
1338 113 613
1339 113 613
1340 114 614
1341 114 614
1342 114 614
1343 115 615
1344 115 615
1345 115 615
1346 116 616
1347 116 616
1348 116 616
1349 117 617
1350 117 617
1351 117 617
1352 118 618
1353 118 618
1354 118 618
1355 119 619
1356 119 619
1357 119 619
1358 120 620
1359 120 620
1360 120 620
1361 121 621
1362 121 621
1363 121 621
1364 122 622
1365 122 622
1366 122 622
1367 123 623
1368 123 623
1369 123 623
1370 124 624
1371 124 624
1372 124 624
1373 125 625
1374 125 625
1375 125 625
1376 126 626
1377 126 626
1378 126 626
1379 127 627
1380 127 627
1381 127 627
1382 128 628
1383 128 628
1384 128 628
1385 129 629
1386 129 629
1387 129 629
1388 130 630
1389 130 630
1390 130 630
1391 131 631
1392 131 631
1393 131 631
1394 132 632
1395 132 632
1396 132 632
1397 133 633
1398 133 633
1399 133 633
1400 134 634
1401 134 634
1402 134 634
1403 135 635
1404 135 635
1405 135 635
1406 136 636
1407 136 636
1408 136 636
1409 137 637
1410 137 637
1411 137 637
1412 138 638
1413 138 638
1414 138 638
1415 139 639
1416 139 639
1417 139 639
1418 140 640
1419 140 640
1420 140 640
1421 141 641
1422 141 641
1423 141 641
1424 142 642
1425 142 642
1426 142 642
1427 143 643
1428 143 643
1429 143 643
1430 144 644
1431 144 644
1432 144 644
1433 145 645
1434 145 645
1435 145 645
1436 146 646
1437 146 646
1438 146 646
1439 147 647
1440 147 647
1441 147 647
1442 148 648
1443 148 648
1444 148 648
1445 149 649
1446 149 649
1447 149 649
1448 150 650
1449 150 650
1450 150 650
1451 151 651
1452 151 651
1453 151 651
1454 152 652
1455 152 652
1456 152 652
1457 153 653
1458 153 653
1459 153 653
1460 154 654
1461 154 654
1462 154 654
1463 155 655
1464 155 655
1465 155 655
1466 156 656
1467 156 656
1468 156 656
1469 157 657
1470 157 657
1471 157 657
1472 158 658
1473 158 658
1474 158 658
1475 159 659
1476 159 659
1477 159 659
1478 160 660
1479 160 660
1480 160 660
1481 161 661
1482 161 661
1483 161 661
1484 162 662
1485 162 662
1486 162 662
1487 163 663
1488 163 663
1489 163 663
1490 164 664
1491 164 664
1492 164 664
1493 165 665
1494 165 665
1495 165 665
1496 166 666
1497 166 666
1498 166 666
1499 167 667
1500 167 667
1501 167 667
1502 168 668
1503 168 668
1504 168 668
1505 169 669
1506 169 669
1507 169 669
1508 170 670
1509 170 670
1510 170 670
1511 171 671
1512 171 671
1513 171 671
1514 172 672
1515 172 672
1516 172 672
1517 173 673
1518 173 673
1519 173 673
1520 174 674
1521 174 674
1522 174 674
1523 175 675
1524 175 675
1525 175 675
1526 176 676
1527 176 676
1528 176 676
1529 177 677
1530 177 677
1531 177 677
1532 178 678
1533 178 678
1534 178 678
1535 179 679
1536 179 679
1537 179 679
1538 180 680
1539 180 680
1540 180 680
1541 181 681
1542 181 681
1543 181 681
1544 182 682
1545 182 682
1546 182 682
1547 183 683
1548 183 683
1549 183 683
1550 184 684
1551 184 684
1552 184 684
1553 185 685
1554 185 685
1555 185 685
1556 186 686
1557 186 686
1558 186 686
1559 187 687
1560 187 687
1561 187 687
1562 188 688
1563 188 688
1564 188 688
1565 189 689
1566 189 689
1567 189 689
1568 190 690
1569 190 690
1570 190 690
1571 191 691
1572 191 691
1573 191 691
1574 192 692
1575 192 692
1576 192 692
1577 193 693
1578 193 693
1579 193 693
1580 194 694
1581 194 694
1582 194 694
1583 195 695
1584 195 695
1585 195 695
1586 196 696
1587 196 696
1588 196 696
1589 197 697
1590 197 697
1591 197 697
1592 198 698
1593 198 698
1594 198 698
1595 199 699
1596 199 699
1597 199 699
1598 200 700
1599 200 700
1600 200 700
1601 201 701
1602 201 701
1603 201 701
1604 202 702
1605 202 702
1606 202 702
1607 203 703
1608 203 703
1609 203 703
1610 204 704
1611 204 704
1612 204 704
1613 205 705
1614 205 705
1615 205 705
1616 206 706
1617 206 706
1618 206 706
1619 207 707
1620 207 707
1621 207 707
1622 208 708
1623 208 708
1624 208 708
1625 209 709
1626 209 709
1627 209 709
1628 210 710
1629 210 710
1630 210 710
1631 211 711
1632 211 711
1633 211 711
1634 212 712
1635 212 712
1636 212 712
1637 213 713
1638 213 713
1639 213 713
1640 214 714
1641 214 714
1642 214 714
1643 215 715
1644 215 715
1645 215 715
1646 216 716
1647 216 716
1648 216 716
1649 217 717
1650 217 717
1651 217 717
1652 218 718
1653 218 718
1654 218 718
1655 219 719
1656 219 719
1657 219 719
1658 220 720
1659 220 720
1660 220 720
1661 221 721
1662 221 721
1663 221 721
1664 222 722
1665 222 722
1666 222 722
1667 223 723
1668 223 723
1669 223 723
1670 224 724
1671 224 724
1672 224 724
1673 225 725
1674 225 725
1675 225 725
1676 226 726
1677 226 726
1678 226 726
1679 227 727
1680 227 727
1681 227 727
1682 228 728
1683 228 728
1684 228 728
1685 229 729
1686 229 729
1687 229 729
1688 230 730
1689 230 730
1690 230 730
1691 231 731
1692 231 731
1693 231 731
1694 232 732
1695 232 732
1696 232 732
1697 233 733
1698 233 733
1699 233 733
1700 234 734
1701 234 734
1702 234 734
1703 235 735
1704 235 735
1705 235 735
1706 236 736
1707 236 736
1708 236 736
1709 237 737
1710 237 737
1711 237 737
1712 238 738
1713 238 738
1714 238 738
1715 239 739
1716 239 739
1717 239 739
1718 240 740
1719 240 740
1720 240 740
1721 241 741
1722 241 741
1723 241 741
1724 242 742
1725 242 742
1726 242 742
1727 243 743
1728 243 743
1729 243 743
1730 244 744
1731 244 744
1732 244 744
1733 245 745
1734 245 745
1735 245 745
1736 246 746
1737 246 746
1738 246 746
1739 247 747
1740 247 747
1741 247 747
1742 248 748
1743 248 748
1744 248 748
1745 249 749
1746 249 749
1747 249 749
1748 250 750
1749 250 750
1750 250 750
1751 251 751
1752 251 751
1753 251 751
1754 252 752
1755 252 752
1756 252 752
1757 253 753
1758 253 753
1759 253 753
1760 254 754
1761 254 754
1762 254 754
1763 255 755
1764 255 755
1765 255 755
1766 256 756
1767 256 756
1768 256 756
1769 257 757
1770 257 757
1771 257 757
1772 258 758
1773 258 758
1774 258 758
1775 259 759
1776 259 759
1777 259 759
1778 260 760
1779 260 760
1780 260 760
1781 261 761
1782 261 761
1783 261 761
1784 262 762
1785 262 762
1786 262 762
1787 263 763
1788 263 763
1789 263 763
1790 264 764
1791 264 764
1792 264 764
1793 265 765
1794 265 765
1795 265 765
1796 266 766
1797 266 766
1798 266 766
1799 267 767
1800 267 767
1801 267 767
1802 268 768
1803 268 768
1804 268 768
1805 269 769
1806 269 769
1807 269 769
1808 270 770
1809 270 770
1810 270 770
1811 271 771
1812 271 771
1813 271 771
1814 272 772
1815 272 772
1816 272 772
1817 273 773
1818 273 773
1819 273 773
1820 274 774
1821 274 774
1822 274 774
1823 275 775
1824 275 775
1825 275 775
1826 276 776
1827 276 776
1828 276 776
1829 277 777
1830 277 777
1831 277 777
1832 278 778
1833 278 778
1834 278 778
1835 279 779
1836 279 779
1837 279 779
1838 280 780
1839 280 780
1840 280 780
1841 281 781
1842 281 781
1843 281 781
1844 282 782
1845 282 782
1846 282 782
1847 283 783
1848 283 783
1849 283 783
1850 284 784
1851 284 784
1852 284 784
1853 285 785
1854 285 785
1855 285 785
1856 286 786
1857 286 786
1858 286 786
1859 287 787
1860 287 787
1861 287 787
1862 288 788
1863 288 788
1864 288 788
1865 289 789
1866 289 789
1867 289 789
1868 290 790
1869 290 790
1870 290 790
1871 291 791
1872 291 791
1873 291 791
1874 292 792
1875 292 792
1876 292 792
1877 293 793
1878 293 793
1879 293 793
1880 294 794
1881 294 794
1882 294 794
1883 295 795
1884 295 795
1885 295 795
1886 296 796
1887 296 796
1888 296 796
1889 297 797
1890 297 797
1891 297 797
1892 298 798
1893 298 798
1894 298 798
1895 299 799
1896 299 799
1897 299 799
1898 300 800
1899 300 800
1900 300 800
1901 301 801
1902 301 801
1903 301 801
1904 302 802
1905 302 802
1906 302 802
1907 303 803
1908 303 803
1909 303 803
1910 304 804
1911 304 804
1912 304 804
1913 305 805
1914 305 805
1915 305 805
1916 306 806
1917 306 806
1918 306 806
1919 307 807
1920 307 807
1921 307 807
1922 308 808
1923 308 808
1924 308 808
1925 309 809
1926 309 809
1927 309 809
1928 310 810
1929 310 810
1930 310 810
1931 311 811
1932 311 811
1933 311 811
1934 312 812
1935 312 812
1936 312 812
1937 313 813
1938 313 813
1939 313 813
1940 314 814
1941 314 814
1942 314 814
1943 315 815
1944 315 815
1945 315 815
1946 316 816
1947 316 816
1948 316 816
1949 317 817
1950 317 817
1951 317 817
1952 318 818
1953 318 818
1954 318 818
1955 319 819
1956 319 819
1957 319 819
1958 320 820
1959 320 820
1960 320 820
1961 321 821
1962 321 821
1963 321 821
1964 322 822
1965 322 822
1966 322 822
1967 323 823
1968 323 823
1969 323 823
1970 324 824
1971 324 824
1972 324 824
1973 325 825
1974 325 825
1975 325 825
1976 326 826
1977 326 826
1978 326 826
1979 327 827
1980 327 827
1981 327 827
1982 328 828
1983 328 828
1984 328 828
1985 329 829
1986 329 829
1987 329 829
1988 330 830
1989 330 830
1990 330 830
1991 331 831
1992 331 831
1993 331 831
1994 332 832
1995 332 832
1996 332 832
1997 333 833
1998 333 833
1999 333 833
2000 334 834
2001 334 834
2002 334 834
2003 335 835
2004 335 835
2005 335 835
2006 336 836
2007 336 836
2008 336 836
2009 337 837
2010 337 837
2011 337 837
2012 338 838
2013 338 838
2014 338 838
2015 339 839
2016 339 839
2017 339 839
2018 340 840
2019 340 840
2020 340 840
2021 341 841
2022 341 841
2023 341 841
2024 342 842
2025 342 842
2026 342 842
2027 343 843
2028 343 843
2029 343 843
2030 344 844
2031 344 844
2032 344 844
2033 345 845
2034 345 845
2035 345 845
2036 346 846
2037 346 846
2038 346 846
2039 347 847
2040 347 847
2041 347 847
2042 348 848
2043 348 848
2044 348 848
2045 349 849
2046 349 849
2047 349 849
2048 350 850
2049 350 850
2050 350 850
2051 351 851
2052 351 851
2053 351 851
2054 352 852
2055 352 852
2056 352 852
2057 353 853
2058 353 853
2059 353 853
2060 354 854
2061 354 854
2062 354 854
2063 355 855
2064 355 855
2065 355 855
2066 356 856
2067 356 856
2068 356 856
2069 357 857
2070 357 857
2071 357 857
2072 358 858
2073 358 858
2074 358 858
2075 359 859
2076 359 859
2077 359 859
2078 360 860
2079 360 860
2080 360 860
2081 361 861
2082 361 861
2083 361 861
2084 362 862
2085 362 862
2086 362 862
2087 363 863
2088 363 863
2089 363 863
2090 364 864
2091 364 864
2092 364 864
2093 365 865
2094 365 865
2095 365 865
2096 366 866
2097 366 866
2098 366 866
2099 367 867
2100 367 867
2101 367 867
2102 368 868
2103 368 868
2104 368 868
2105 369 869
2106 369 869
2107 369 869
2108 370 870
2109 370 870
2110 370 870
2111 371 871
2112 371 871
2113 371 871
2114 372 872
2115 372 872
2116 372 872
2117 373 873
2118 373 873
2119 373 873
2120 374 874
2121 374 874
2122 374 874
2123 375 875
2124 375 875
2125 375 875
2126 376 876
2127 376 876
2128 376 876
2129 377 877
2130 377 877
2131 377 877
2132 378 878
2133 378 878
2134 378 878
2135 379 879
2136 379 879
2137 379 879
2138 380 880
2139 380 880
2140 380 880
